Date,Open,High,Low,Close,Adj Close,Volume
2016-05-01,7.830000,8.080000,5.800000,6.340000,6.340000,26545700
2016-06-01,6.290000,6.590000,5.110000,5.930000,5.930000,22956100
2016-07-01,5.880000,5.880000,4.900000,5.180000,5.180000,15010200
2016-08-01,5.180000,6.900000,4.900000,6.080000,6.080000,27947400
2016-09-01,6.100000,6.350000,5.250000,6.300000,6.300000,22900400
2016-10-01,6.310000,7.340000,5.030000,5.210000,5.210000,31860400
2016-11-01,5.200000,5.600000,4.150000,5.100000,5.100000,34793600
2016-12-01,5.130000,5.950000,4.890000,5.310000,5.310000,23361000
2017-01-01,5.390000,6.500000,5.110000,5.290000,5.290000,19656500
2017-02-01,5.260000,6.180000,5.260000,5.690000,5.690000,16261600
2017-03-01,5.750000,5.800000,4.790000,5.400000,5.400000,29776900
2017-04-01,5.370000,5.620000,4.950000,5.290000,5.290000,16031400
2017-05-01,5.280000,5.430000,4.590000,5.040000,5.040000,26138000
2017-06-01,5.050000,7.350000,4.860000,7.120000,7.120000,33667300
2017-07-01,7.120000,7.640000,6.500000,7.530000,7.530000,19124700
2017-08-01,7.530000,7.780000,6.500000,6.700000,6.700000,23891700
2017-09-01,6.710000,7.210000,4.210000,5.550000,5.550000,26079700
2017-10-01,5.490000,5.920000,5.310000,5.740000,5.740000,17147700
2017-11-01,5.670000,6.730000,5.400000,5.600000,5.600000,22344700
2017-12-01,5.570000,6.140000,5.320000,5.900000,5.900000,17636300
2018-01-01,5.880000,6.780000,5.775000,6.330000,6.330000,24681200
2018-02-01,6.320000,7.299000,5.080000,6.690000,6.690000,34210600
2018-03-01,6.670000,9.230000,6.510000,8.930000,8.930000,61008900
2018-04-01,8.900000,10.160000,8.010000,9.220000,9.220000,50104400
2018-05-01,9.180000,12.240000,8.800000,12.100000,12.100000,61452300
2018-06-01,11.990000,14.350000,11.570000,13.150000,13.150000,48862600
2018-07-01,13.570000,16.445000,13.000000,14.140000,14.140000,43275000
2018-08-01,14.160000,14.960000,11.800000,13.120000,13.120000,54676200
2018-09-01,13.100000,13.380000,11.900000,12.440000,12.440000,28523100
2018-10-01,12.480000,13.767000,10.955000,12.260000,12.260000,32056400
2018-11-01,12.260000,14.731000,11.600000,14.650000,14.650000,30610500
2018-12-01,15.000000,15.000000,8.810000,10.890000,10.890000,33451500
2019-01-01,10.580000,13.300000,9.560000,13.300000,13.300000,22920900
2019-02-01,13.120000,16.030001,13.120000,15.510000,15.510000,23732400
2019-03-01,16.049999,17.091999,13.730000,14.060000,14.060000,26378800
2019-04-01,14.240000,17.440001,13.950000,15.210000,15.210000,19787700
2019-05-01,15.410000,16.959999,14.105000,15.660000,15.660000,25158600
2019-06-01,15.660000,19.280001,15.570000,18.760000,18.760000,34462200
2019-07-01,19.110001,21.420000,17.580000,19.049999,19.049999,39271400
2019-08-01,19.420000,20.809999,14.550000,15.330000,15.330000,49460500
2019-09-01,15.310000,17.700001,14.620000,16.705000,16.705000,36646200
2019-10-01,16.719999,17.950001,15.020000,15.540000,15.540000,30980600
2019-11-01,15.630000,15.940000,12.900000,13.880000,13.880000,39550100
2019-12-01,13.890000,14.905000,13.100000,13.810000,13.810000,31576000
2020-01-01,13.990000,17.930000,13.660000,17.030001,17.030001,40692700
2020-02-01,17.059999,23.660000,16.250000,19.340000,19.340000,78366000
2020-03-01,19.459999,21.629999,7.835000,10.100000,10.100000,77593100
2020-04-01,9.550000,14.870000,8.750000,14.030000,14.030000,46520500
2020-05-01,13.390000,17.135000,12.430000,16.700001,16.700001,39194400
2020-06-01,16.600000,20.665001,16.420000,19.719999,19.719999,33679100
2020-07-01,19.719999,43.180000,19.530001,36.689999,36.689999,156279700
2020-08-01,37.180000,56.970001,36.180000,56.555000,56.555000,82926100
2020-09-01,56.299999,78.220001,42.610001,77.070000,77.070000,102988100
2020-10-01,79.415001,82.419998,50.259998,52.020000,52.020000,179823600
2020-11-01,52.950001,69.440002,49.209000,64.080002,64.080002,118958000
2020-12-01,64.718002,74.139999,56.060001,69.379997,69.379997,106981900
2021-01-01,70.680000,100.930000,68.160004,69.269997,69.269997,121883500
2021-02-01,70.519997,84.809998,56.347000,62.580002,62.580002,107897900
2021-03-01,65.220001,68.879997,46.880001,60.480000,60.480000,141999900
2021-04-01,62.500000,64.620003,46.099998,49.000000,49.000000,114669800
