Date,Open,High,Low,Close,Adj Close,Volume
2016-05-01,109.660004,110.919998,109.320000,109.730003,100.394287,35203800
2016-06-01,109.849998,113.239998,109.480003,112.949997,103.491798,55290100
2016-07-01,113.300003,113.910004,111.660004,113.070000,103.755875,50853500
2016-08-01,112.559998,112.800003,111.370003,111.769997,102.706612,36807000
2016-09-01,111.330002,112.330002,110.440002,111.879997,102.951569,25347200
2016-10-01,111.699997,111.730003,109.720001,110.059998,101.417435,37030300
2016-11-01,109.589996,110.559998,105.000000,105.260002,97.124596,54706600
2016-12-01,104.620003,105.580002,103.430000,104.820000,96.854088,39059700
2017-01-01,104.349998,106.029999,104.180000,105.050003,97.358612,38681500
2017-02-01,104.559998,106.160004,104.320000,105.650002,97.914650,41341600
2017-03-01,104.709999,105.959999,103.690002,105.589996,98.007385,44816900
2017-04-01,105.559998,107.470001,105.529999,106.599998,99.080833,42203600
2017-05-01,106.320000,107.400002,105.410004,107.320000,99.900497,43644900
2017-06-01,106.940002,108.169998,106.540001,106.610001,99.388756,41627000
2017-07-01,106.449997,107.269997,105.720001,106.849998,99.764977,44651400
2017-08-01,106.519997,108.430000,106.470001,108.239998,101.213737,29618300
2017-09-01,107.959999,108.809998,106.459999,106.519997,99.759438,43735600
2017-10-01,106.419998,106.919998,105.470001,106.160004,99.571327,38501300
2017-11-01,105.919998,106.629997,105.589996,105.699997,99.288094,32378500
2017-12-01,105.699997,106.339996,104.870003,105.570000,99.319389,42014900
2018-01-01,105.440002,105.470001,103.019997,103.300003,97.483292,64827200
2018-02-01,103.099998,103.309998,101.470001,102.169998,96.416893,78688600
2018-03-01,102.160004,103.309998,101.680000,103.190002,97.538086,58315400
2018-04-01,102.940002,103.339996,101.059998,101.699997,96.279526,54934500
2018-05-01,101.500000,103.199997,100.330002,102.510002,97.211205,85042400
2018-06-01,101.849998,102.730003,101.160004,102.510002,97.394112,85547500
2018-07-01,102.419998,102.709999,101.559998,101.779999,96.891495,57100300
2018-08-01,101.260002,102.959999,101.190002,102.610001,97.862984,62759100
2018-09-01,102.260002,102.449997,100.680000,101.169998,96.679619,60054700
2018-10-01,100.830002,101.300003,99.599998,100.660004,96.385750,92787200
2018-11-01,100.360001,101.820000,99.750000,101.779999,97.655121,69871900
2018-12-01,101.440002,104.660004,101.410004,104.199997,100.192024,118402000
2019-01-01,104.309998,105.320000,103.349998,104.879997,101.266075,133795900
2019-02-01,104.470001,104.790001,103.809998,104.110001,100.522598,93776200
2019-03-01,103.739998,107.080002,103.570000,106.669998,103.210869,97839700
2019-04-01,106.099998,106.129997,105.000000,105.900002,102.662071,76407100
2019-05-01,105.699997,108.949997,105.269997,108.910004,105.796265,90086400
2019-06-01,108.879997,110.279999,108.580002,110.019997,107.088913,101557500
2019-07-01,109.820000,110.400002,108.830002,109.870003,107.152451,71495500
2019-08-01,109.839996,114.389999,109.790001,114.010002,111.384438,133258900
2019-09-01,113.879997,114.440002,110.500000,112.470001,110.074265,149510500
2019-10-01,111.849998,113.889999,111.050003,112.510002,110.297234,95921600
2019-11-01,112.180000,112.419998,109.980003,111.570000,109.542267,77322800
2019-12-01,110.870003,112.169998,110.040001,110.220001,108.378654,62923000
2020-01-01,110.690002,114.120003,110.629997,114.040001,112.454826,72902700
2020-02-01,113.610001,117.449997,112.559998,117.260002,115.630074,111552100
2020-03-01,117.550003,123.410004,114.400002,121.480003,119.952377,212863200
2020-04-01,122.129997,122.690002,120.269997,121.669998,120.283577,79840600
2020-05-01,121.790001,122.230003,120.849998,121.940002,120.693573,64695500
2020-06-01,121.620003,122.190002,119.349998,121.870003,120.751320,112116800
2020-07-01,121.529999,122.889999,121.290001,122.800003,121.794624,86038200
2020-08-01,122.519997,123.089996,121.180000,121.510002,120.624084,74469800
2020-09-01,121.400002,122.389999,121.300003,121.820000,121.030365,82592900
2020-10-01,121.529999,121.930000,120.059998,120.059998,119.368217,124269300
2020-11-01,120.339996,121.059998,119.190002,120.389999,119.773994,136260600
2020-12-01,119.970001,120.269997,119.199997,119.949997,119.411827,88556700
2021-01-01,119.680000,120.059998,117.570000,118.639999,118.258263,117236400
2021-02-01,118.570000,118.769997,114.099998,115.760002,115.387535,153813600
2021-03-01,115.470001,115.779999,112.779999,112.930000,112.640701,180766200
2021-04-01,113.209999,114.769997,112.800003,113.989998,113.766777,148724100
